frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,52.000008,264.9998,1.0,1.0387456,1.0387456,0.01,1.3760089,1.3760096,2.9282951,-1.2180686,1
0,52.000126,88.99998,1.0,1.0486357,1.0486357,0.01,1.3936783,1.3936783,2.528757,-1.2160467,1
0,52.000153,220.99988,1.0,1.0321563,1.0321563,0.01,1.364377,1.3643771,2.631845,-1.219377,1
0,52.000214,112.00009,1.0,1.1616203,1.1616203,0.01,1.6148598,1.6148598,2.4733503,-1.1882164,1
0,52.00026,191.00027,1.2565842,1.1927491,1.1927491,0.01,1.4606189,1.460619,2.4825156,-1.4175391,1
0,52.000298,66.99975,1.7332458,1.2439369,1.2439369,0.01,1.2886529,1.2886529,3.3242612,-1.8325589,1
0,52.999783,163.99983,1.0,1.1793821,1.1793821,0.01,1.653108,1.6531079,2.314164,-1.1831043,1
0,52.99992,78.000175,1.0,1.2134395,1.2134395,0.01,1.729292,1.7292923,1.8482984,-1.1728028,1
0,53.000057,209.99994,1.0,1.0754014,1.0754014,0.01,1.4427966,1.4427968,2.7293365,-1.2102289,1
0,53.0002,276.9998,1.2398453,1.1454141,1.1454141,0.01,1.3839353,1.3839356,2.61464,-1.4188228,1
0,53.0003,200.99976,1.4383621,1.136684,1.136684,0.01,1.2506279,1.2506276,3.0204356,-1.6093584,1
0,53.000324,122.99987,1.3396912,1.2289301,1.2289301,0.01,1.4734988,1.4734991,2.6214817,-1.4797195,1
0,53.00037,178.99997,1.0845261,1.1603525,1.1603525,0.01,1.5325404,1.5325406,2.4156816,-1.2679082,1
0,53.99994,288.0002,1.0961304,1.069692,1.069692,0.01,1.3527949,1.3527948,3.6142287,-1.3039423,1
0,53.99996,240.99974,1.0499802,1.1366291,1.1366291,0.01,1.5158075,1.5158073,2.5502155,-1.2423242,1
0,54.00036,34.000008,1.0765305,1.1365138,1.1365138,0.01,1.4922205,1.4922203,2.9692733,-1.2674497,1
0,60.999935,245.99979,1.0599518,1.1399167,1.1399167,0.01,1.5134145,1.5134147,2.5262566,-1.2508134,1
0,61.00012,330.99976,1.1017456,1.1765921,1.1765921,0.01,1.5503916,1.5503914,2.783821,-1.2789416,1
0,61.999737,23.99981,1.2672043,1.1842678,1.1842678,0.01,1.4370072,1.4370072,2.5495167,-1.4306111,1
0,61.999798,253.9998,1.2043076,1.2146652,1.2146652,0.01,1.5431087,1.5431088,2.2872126,-1.3608778,1
0,61.999897,263.99994,1.0,1.0521685,1.0521685,0.01,1.4000517,1.400052,2.6780746,-1.2153076,1
